n_arms,n_steps,optimistic_init,variant,final_avg_reward,final_avg_reward_std,total_regret,total_regret_std
1000,100,0,decay=0.99,0.725667,0.149958,26.710260,14.323150
1000,100,0,decay=0.999,0.718000,0.147354,26.940173,13.456753
1000,100,0,decay=0.9999,0.719667,0.134638,27.123103,12.697328
1000,100,0,decay=0.99999,0.720000,0.134164,27.013391,12.800801
1000,1000,1,constant,0.546800,0.015291,453.740643,10.099463
1000,1000,1,decay=0.9,0.549100,0.015142,449.308771,9.399063
1000,1000,1,decay=0.95,0.550367,0.012433,448.166671,8.256435
1000,1000,1,decay=0.99,0.548633,0.014972,448.898063,9.675735
1000,1000,1,decay=0.999,0.552333,0.017105,449.517899,10.431567
1000,1000,1,decay=0.9999,0.547467,0.014550,453.597002,9.024882
1000,1000,1,decay=0.99999,0.546933,0.014610,453.596154,9.412709
1000,1000,0,constant,0.866367,0.029682,134.430338,29.966096
1000,1000,0,decay=0.9,0.684133,0.229481,317.180918,228.783245
1000,1000,0,decay=0.95,0.745400,0.170245,256.239259,170.359239
1000,1000,0,decay=0.99,0.878967,0.108746,121.582549,109.915217
1000,1000,0,decay=0.999,0.896500,0.025115,102.406337,24.056274
1000,1000,0,decay=0.9999,0.872900,0.026266,126.760989,26.334697
1000,1000,0,decay=0.99999,0.866967,0.029657,133.798596,30.319711
1000,10000,1,constant,0.854843,0.002046,1437.393902,27.053118
1000,10000,1,decay=0.9,0.899547,0.000666,991.156745,23.530295
1000,10000,1,decay=0.95,0.899530,0.000711,993.696168,22.747245
1000,10000,1,decay=0.99,0.899517,0.000636,992.951664,26.302233
1000,10000,1,decay=0.999,0.897403,0.000964,1015.146273,27.093015
1000,10000,1,decay=0.9999,0.872963,0.001638,1264.268966,27.266156
1000,10000,1,decay=0.99999,0.857280,0.002082,1411.688589,28.292957
1000,10000,0,constant,0.912813,0.004221,867.604276,42.627604
1000,10000,0,decay=0.9,0.683563,0.227855,3144.021297,2281.486232
1000,10000,0,decay=0.95,0.748143,0.168197,2505.452475,1685.074268
1000,10000,0,decay=0.99,0.898850,0.113678,1003.975726,1148.035363
1000,10000,0,decay=0.999,0.975513,0.009357,234.410435,93.185300
1000,10000,0,decay=0.9999,0.938403,0.005458,608.913733,54.112136
1000,10000,0,decay=0.99999,0.916433,0.004761,829.933826,41.431177
