n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,True,constant,20000,0.5,35.702837598065436
10,100,True,constant,20001,0.84,11.22883666389369
10,100,True,constant,20002,0.85,11.847667777383489
10,100,True,constant,20003,0.54,28.841094147038735
10,100,True,constant,20004,0.71,8.375493752271698
10,100,True,constant,20005,0.86,10.941058029687513
10,100,True,constant,20006,0.29,56.26687036505738
10,100,True,constant,20007,0.88,12.247696221104706
10,100,True,constant,20008,0.86,7.707945037839957
10,100,True,constant,20009,0.82,10.016960930880105
10,100,True,constant,20010,0.86,10.854788596728348
10,100,True,constant,20011,0.59,31.528174539913895
10,100,True,constant,20012,0.86,14.129166157686212
10,100,True,constant,20013,0.54,19.973659561446567
10,100,True,constant,20014,0.87,10.725791822834655
10,100,True,constant,20015,0.81,11.358244987237805
10,100,True,constant,20016,0.86,12.048978813215106
10,100,True,constant,20017,0.86,9.7232638946037
10,100,True,constant,20018,0.78,15.321353878702684
10,100,True,constant,20019,0.74,12.13003436254056
10,100,True,constant,20020,0.84,8.582890029802565
10,100,True,constant,20021,0.78,16.187521755067937
10,100,True,constant,20022,0.7,10.744547439705018
10,100,True,constant,20023,0.82,12.460488558845224
10,100,True,constant,20024,0.82,13.227744601409029
10,100,True,constant,20025,0.54,24.250444306486866
10,100,True,constant,20026,0.84,9.269482425188553
10,100,True,constant,20027,0.41,9.668285915158322
10,100,True,constant,20028,0.83,13.627805952828558
10,100,True,constant,20029,0.85,13.381331695843471
10,100,True,decay=0.9,20000,0.7,15.111997272488678
10,100,True,decay=0.9,20001,0.88,8.676890649536082
10,100,True,decay=0.9,20002,0.89,8.215368147216648
10,100,True,decay=0.9,20003,0.56,28.552091057383993
10,100,True,decay=0.9,20004,0.73,4.6181159431333665
10,100,True,decay=0.9,20005,0.91,8.838572356514481
10,100,True,decay=0.9,20006,0.53,35.128099160152
10,100,True,decay=0.9,20007,0.91,8.201327607169349
10,100,True,decay=0.9,20008,0.83,11.590314173959175
10,100,True,decay=0.9,20009,0.85,6.488955039009188
10,100,True,decay=0.9,20010,0.9,7.243623906437091
10,100,True,decay=0.9,20011,0.63,28.20143600556681
10,100,True,decay=0.9,20012,0.91,9.547694586611806
10,100,True,decay=0.9,20013,0.54,17.307651378543092
