suite,algorithm,environment_seed,final_avg_reward,total_regret
rare-good,"thompson Beta(5,5)",30011,0.5355,522.7936184127767
rare-good,"thompson Beta(5,5)",30012,0.654,284.3226684503505
rare-good,"thompson Beta(5,5)",30013,0.656,295.6681802004617
rare-good,"thompson Beta(5,5)",30014,0.6655,280.11727166937334
rare-good,"thompson Beta(5,5)",30015,0.622,370.3142641130259
rare-good,"thompson Beta(5,5)",30016,0.6705,271.94643381972236
rare-good,"thompson Beta(5,5)",30017,0.653,293.1750646235696
rare-good,"thompson Beta(5,5)",30018,0.648,305.2528332425157
rare-good,"thompson Beta(5,5)",30019,0.629,323.64911561988674
rare-good,"thompson Beta(5,5)",30020,0.676,270.8078365105161
rare-good,"thompson Beta(5,5)",30021,0.6075,371.96274879955575
rare-good,"thompson Beta(5,5)",30022,0.6325,323.8702544567294
rare-good,"thompson Beta(5,5)",30023,0.621,334.9294935551506
rare-good,"thompson Beta(5,5)",30024,0.636,324.9686470217944
rare-good,"thompson Beta(5,5)",30025,0.6885,245.26019533243908
rare-good,"thompson Beta(5,5)",30026,0.653,307.17549123212854
rare-good,"thompson Beta(5,5)",30027,0.6065,354.6437332288754
rare-good,"thompson Beta(5,5)",30028,0.6165,354.6851631561197
rare-good,"thompson Beta(5,5)",30029,0.635,329.91500259097387
rare-good,ucb(c=0.003),30000,0.7605,75.03955463034715
rare-good,ucb(c=0.003),30001,0.7605,75.50585546512835
rare-good,ucb(c=0.003),30002,0.2875,1058.497487056482
rare-good,ucb(c=0.003),30003,0.7615,86.68314546470552
rare-good,ucb(c=0.003),30004,0.7605,91.8578220727868
rare-good,ucb(c=0.003),30005,0.771,77.86867736717538
rare-good,ucb(c=0.003),30006,0.75,91.89576645308688
rare-good,ucb(c=0.003),30007,0.76,87.3436907478965
rare-good,ucb(c=0.003),30008,0.756,71.40549587347125
rare-good,ucb(c=0.003),30009,0.766,74.63297549959125
rare-good,ucb(c=0.003),30010,0.756,74.97220170054075
rare-good,ucb(c=0.003),30011,0.2685,1037.8699199935832
rare-good,ucb(c=0.003),30012,0.758,79.37899220382215
rare-good,ucb(c=0.003),30013,0.2555,1096.3305461881323
rare-good,ucb(c=0.003),30014,0.7655,68.34704391676746
rare-good,ucb(c=0.003),30015,0.769,74.51063189835321
rare-good,ucb(c=0.003),30016,0.769,84.65868575052389
rare-good,ucb(c=0.003),30017,0.7445,104.06459744476021
rare-good,ucb(c=0.003),30018,0.758,83.06981057098075
rare-good,ucb(c=0.003),30019,0.7605,78.60982220478078
rare-good,ucb(c=0.003),30020,0.767,95.43403062033452
rare-good,ucb(c=0.003),30021,0.76,74.81357089899518
rare-good,ucb(c=0.003),30022,0.7645,69.30199042011891
rare-good,ucb(c=0.003),30023,0.738,101.85066600725595
rare-good,ucb(c=0.003),30024,0.7685,74.45295024399199
rare-good,ucb(c=0.003),30025,0.7765,69.88660323176533
rare-good,ucb(c=0.003),30026,0.2485,1127.2871300556583
rare-good,ucb(c=0.003),30027,0.75,70.21313769434582
rare-good,ucb(c=0.003),30028,0.742,95.09736339122149
rare-good,ucb(c=0.003),30029,0.7215,161.31003146522846
