suite,algorithm,environment_seed,final_avg_reward,total_regret
uniform,"thompson Beta(5,5)",30026,0.95,98.94492904145132
uniform,"thompson Beta(5,5)",30027,0.9475,103.47609857604357
uniform,"thompson Beta(5,5)",30028,0.925,118.02638971889066
uniform,"thompson Beta(5,5)",30029,0.897,133.91070835194438
uniform,ucb(c=0.003),30000,0.93,88.6512200475056
uniform,ucb(c=0.003),30001,0.932,94.51267732239079
uniform,ucb(c=0.003),30002,0.939,105.09952636618567
uniform,ucb(c=0.003),30003,0.9465,103.4051026501214
uniform,ucb(c=0.003),30004,0.9,150.62395503101231
uniform,ucb(c=0.003),30005,0.9505,104.02657160388247
uniform,ucb(c=0.003),30006,0.949,99.38294126052132
uniform,ucb(c=0.003),30007,0.946,96.7086463684365
uniform,ucb(c=0.003),30008,0.9465,86.01677700234656
uniform,ucb(c=0.003),30009,0.9505,98.03868097531617
uniform,ucb(c=0.003),30010,0.9305,108.8279356623539
uniform,ucb(c=0.003),30011,0.951,93.4750704252382
uniform,ucb(c=0.003),30012,0.945,86.82839251550031
uniform,ucb(c=0.003),30013,0.9505,92.16175481252087
uniform,ucb(c=0.003),30014,0.9405,78.29664025249267
uniform,ucb(c=0.003),30015,0.9385,87.70888614702044
uniform,ucb(c=0.003),30016,0.9475,101.58956549223159
uniform,ucb(c=0.003),30017,0.9385,86.58011463831899
uniform,ucb(c=0.003),30018,0.928,95.89894244326983
uniform,ucb(c=0.003),30019,0.9485,99.41266285437868
uniform,ucb(c=0.003),30020,0.9505,89.24478682773363
uniform,ucb(c=0.003),30021,0.9425,92.30032523342015
uniform,ucb(c=0.003),30022,0.9475,93.12881349642166
uniform,ucb(c=0.003),30023,0.941,91.03323924899999
uniform,ucb(c=0.003),30024,0.9495,103.87810928321849
uniform,ucb(c=0.003),30025,0.9505,103.95261609850441
uniform,ucb(c=0.003),30026,0.949,97.21809102705767
uniform,ucb(c=0.003),30027,0.944,96.08262336393723
uniform,ucb(c=0.003),30028,0.9305,99.41463930068684
uniform,ucb(c=0.003),30029,0.924,83.60495361271055
small-gap,epsgreedy const,30000,0.514,30.69980133310144
small-gap,epsgreedy const,30001,0.4955,25.801503480382266
small-gap,epsgreedy const,30002,0.515,23.184614320417122
small-gap,epsgreedy const,30003,0.501,23.13363288447349
small-gap,epsgreedy const,30004,0.508,26.775958843901854
small-gap,epsgreedy const,30005,0.502,30.55484401113513
small-gap,epsgreedy const,30006,0.4965,23.64643093069004
small-gap,epsgreedy const,30007,0.501,24.024334551701827
small-gap,epsgreedy const,30008,0.4835,30.7177156777684
small-gap,epsgreedy const,30009,0.501,30.89830820664877
small-gap,epsgreedy const,30010,0.4895,26.297211382451998
small-gap,epsgreedy const,30011,0.5025,21.500266773894754
small-gap,epsgreedy const,30012,0.5035,32.800307531845036
small-gap,epsgreedy const,30013,0.5,31.285575312274315
small-gap,epsgreedy const,30014,0.4905,26.08713799455432
small-gap,epsgreedy const,30015,0.4905,31.758784975433464
small-gap,epsgreedy const,30016,0.52,31.25495552889257
small-gap,epsgreedy const,30017,0.5055,19.749181395839468
small-gap,epsgreedy const,30018,0.508,28.340976633826074
small-gap,epsgreedy const,30019,0.512,34.532116939776
small-gap,epsgreedy const,30020,0.499,24.907566821238557
small-gap,epsgreedy const,30021,0.493,26.65901174289549
small-gap,epsgreedy const,30022,0.5055,28.50875091930136
small-gap,epsgreedy const,30023,0.5145,28.91752051086626
small-gap,epsgreedy const,30024,0.504,28.503677160910918
small-gap,epsgreedy const,30025,0.504,30.96579581490075
small-gap,epsgreedy const,30026,0.51,28.840354061579518
small-gap,epsgreedy const,30027,0.5005,18.8824068074537
small-gap,epsgreedy const,30028,0.478,26.242929668030822
small-gap,epsgreedy const,30029,0.4995,28.638431243878628
small-gap,epsgreedy optimistic decay=0.90,30000,0.5175,23.69968406718081
small-gap,epsgreedy optimistic decay=0.90,30001,0.4975,27.660684106482037
small-gap,epsgreedy optimistic decay=0.90,30002,0.5175,19.182924099485714
small-gap,epsgreedy optimistic decay=0.90,30003,0.4965,27.96306380166136
small-gap,epsgreedy optimistic decay=0.90,30004,0.5065,28.032999322138366
small-gap,epsgreedy optimistic decay=0.90,30005,0.503,29.159864404692758
small-gap,epsgreedy optimistic decay=0.90,30006,0.4975,25.39931688349267
small-gap,epsgreedy optimistic decay=0.90,30007,0.4975,35.22308379280638
small-gap,epsgreedy optimistic decay=0.90,30008,0.48,36.00462735716734
small-gap,epsgreedy optimistic decay=0.90,30009,0.4965,38.575160761833935
small-gap,epsgreedy optimistic decay=0.90,30010,0.4925,15.738595841440421
small-gap,epsgreedy optimistic decay=0.90,30011,0.5045,15.82075030745656
small-gap,epsgreedy optimistic decay=0.90,30012,0.508,21.646531568938588
small-gap,epsgreedy optimistic decay=0.90,30013,0.501,29.33018353790995
small-gap,epsgreedy optimistic decay=0.90,30014,0.4965,18.572525461357756
small-gap,epsgreedy optimistic decay=0.90,30015,0.49,30.996190928659022
